% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct	ccId
38174	1	2	1	2	1	18	1980	0	1	1	0
38181	1	1	2	2	0	16	1836	0	1	1	0
38181	1	1	2	2	1	16	1836	0	1	1	0
38181	1	2	1	2	0	16	3822	0	1	1	0
38181	1	2	1	2	1	16	3822	0	1	1	0
38185	1	1	2	2	0	18	4107	0	1	1	0
38185	1	1	2	2	1	18	4107	0	1	1	0
38185	1	2	1	2	0	16	3822	0	1	1	0
38185	1	2	1	2	1	16	3822	0	1	1	0
38187	1	2	1	2	0	16	3822	0	1	1	0
38187	1	2	1	2	1	16	3822	0	1	1	0
38207	1	2	1	2	0	22	5861	0	1	1	0
38207	1	2	1	2	1	22	5861	0	1	1	0
38212	1	2	1	2	0	24	6882	0	1	1	0
38212	1	2	1	2	1	24	6882	0	1	1	0
38213	1	2	1	2	0	24	6882	0	1	1	0
38213	1	2	1	2	1	24	6882	0	1	1	0
38214	1	2	1	2	0	26	7708	0	1	1	0
38214	1	2	1	2	1	26	7708	0	1	1	0
38215	1	2	1	2	0	26	7708	0	1	1	0
38215	1	2	1	2	1	26	7708	0	1	1	0
38216	1	1	2	2	0	20	2385	0	1	1	0
38216	1	1	2	2	1	20	2385	0	1	1	0
38216	1	2	1	2	0	26	3662	0	1	1	0
38216	1	2	1	2	1	26	3662	0	1	1	0
38217	1	1	2	2	0	20	2385	0	1	1	0
38217	1	1	2	2	1	20	2385	0	1	1	0
38217	1	2	1	2	0	26	3662	0	1	1	0
38217	1	2	1	2	1	26	3662	0	1	1	0
38218	1	1	2	2	0	20	2385	0	1	1	0
38218	1	1	2	2	1	20	2385	0	1	1	0
38218	1	2	1	2	0	26	3662	0	1	1	0
38218	1	2	1	2	1	26	3662	0	1	1	0
38219	1	1	2	2	0	20	2385	0	1	1	0
38219	1	1	2	2	1	20	2385	0	1	1	0
38219	1	2	1	2	0	26	3662	0	1	1	0
38219	1	2	1	2	1	26	3662	0	1	1	0
38220	1	1	2	2	0	20	2385	0	1	1	0
38220	1	1	2	2	1	20	2385	0	1	1	0
38220	1	2	1	2	0	26	3662	0	1	1	0
38220	1	2	1	2	1	26	3662	0	1	1	0
38227	1	1	2	2	0	18	1980	0	1	1	0
38227	1	1	2	2	1	18	1980	0	1	1	0
38227	1	2	1	2	0	26	7708	0	1	1	0
38227	1	2	1	2	1	26	7708	0	1	1	0
38228	1	2	1	2	0	26	7708	0	1	1	0
38228	1	2	1	2	1	26	7708	0	1	1	0
38233	1	1	2	2	0	18	1980	0	1	1	0
38233	1	1	2	2	1	18	1980	0	1	1	0
38233	1	2	1	2	0	26	3662	0	1	1	0
38233	1	2	1	2	1	26	3662	0	1	1	0
38234	1	1	2	2	0	20	2385	0	1	1	0
38234	1	1	2	2	1	20	2385	0	1	1	0
38234	1	2	1	2	0	24	3182	0	1	1	0
38234	1	2	1	2	1	24	3182	0	1	1	0
38235	1	1	2	2	0	20	2385	0	1	1	0
38235	1	1	2	2	1	20	2385	0	1	1	0
38235	1	2	1	2	0	24	3182	0	1	1	0
38235	1	2	1	2	1	24	3182	0	1	1	0
38236	1	1	2	2	0	20	2385	0	1	1	0
38236	1	1	2	2	1	20	2385	0	1	1	0
38236	1	2	1	2	0	24	3182	0	1	1	0
38236	1	2	1	2	1	24	3182	0	1	1	0
38238	1	1	2	2	0	20	2385	0	1	1	0
38238	1	1	2	2	1	20	2385	0	1	1	0
38238	1	2	1	2	0	24	3182	0	1	1	0
38238	1	2	1	2	1	24	3182	0	1	1	0
38243	1	1	2	2	0	22	2769	0	1	1	0
38243	1	1	2	2	1	22	2769	0	1	1	0
38243	1	2	1	2	0	22	2769	0	1	1	0
38243	1	2	1	2	1	22	2769	0	1	1	0
38244	1	1	2	2	0	22	2769	0	1	1	0
38244	1	1	2	2	1	22	2769	0	1	1	0
38244	1	2	1	2	0	22	2769	0	1	1	0
38244	1	2	1	2	1	22	2769	0	1	1	0
38251	1	1	2	2	0	22	2769	0	1	1	0
38251	1	1	2	2	1	22	2769	0	1	1	0
38251	1	2	1	2	0	20	2385	0	1	1	0
