% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
14.441	1	2	1	30.3137	0
14.442	1	1	2	83.4709	0
14.481	1	2	1	94.9545	0
14.482	1	1	2	94.1436	0
14.521	1	2	1	95.0214	0
14.522	1	1	2	105.641	0
14.561	1	2	1	74.3948	0
14.562	1	1	2	59.5989	0
14.601	1	2	1	67.8215	0
14.602	1	1	2	47.5474	0
14.641	1	2	1	98.002	0
14.642	1	1	2	80.1055	0
14.681	1	2	1	78.7248	0
14.682	1	1	2	31.574	0
14.721	1	2	1	94.4303	0
14.722	1	1	2	69.2125	0
14.761	1	2	1	94.4615	0
14.762	1	1	2	170.362	0
14.801	1	2	1	51.4209	0
14.802	1	1	2	62.9165	0
14.841	1	2	1	76.4628	0
14.842	1	1	2	53.477	0
14.881	1	2	1	102.871	0
14.882	1	1	2	50.0202	0
14.921	1	2	1	27.2014	0
14.922	1	1	2	90.2706	0
14.961	1	2	1	95.7626	0
14.962	1	1	2	82.7832	0
15.001	1	2	1	30.2579	0
15.002	1	1	2	30.4273	0
15.041	1	2	1	109.742	0
15.042	1	1	2	44.4063	0
15.081	1	2	1	201.194	0
15.082	1	1	2	58.7798	0
15.121	1	2	1	89.6604	0
15.122	1	1	2	45.5461	0
15.161	1	2	1	53.633	0
15.162	1	1	2	101.442	0
15.201	1	2	1	107.316	0
15.202	1	1	2	230.16	0
15.241	1	2	1	92.8291	0
15.242	1	1	2	21.6755	0
15.281	1	2	1	198.673	0
15.282	1	1	2	83.907	0
15.321	1	2	1	87.69	0
15.322	1	1	2	62.0199	0
15.361	1	2	1	199.427	0
15.362	1	1	2	110.902	0
15.401	1	2	1	18.2895	0
15.402	1	1	2	100.565	0
15.441	1	2	1	134.359	0
15.442	1	1	2	71.6253	0
15.481	1	2	1	164.633	0
15.482	1	1	2	52.449	0
15.521	1	2	1	111.024	0
15.522	1	1	2	132.795	0
15.561	1	2	1	87.1357	0
15.562	1	1	2	118.126	0
15.601	1	2	1	196.937	0
15.602	1	1	2	88.1276	0
15.641	1	2	1	76.4819	0
15.642	1	1	2	79.3006	0
15.681	1	2	1	206.302	0
15.682	1	1	2	54.0055	0
15.721	1	2	1	15.9618	0
15.722	1	1	2	28.5574	0
15.761	1	2	1	141.845	0
15.762	1	1	2	99.7211	0
15.801	1	2	1	167.731	0
15.802	1	1	2	36.2423	0
15.841	1	2	1	102.838	0
15.842	1	1	2	61.5946	0
15.881	1	2	1	64.9165	0
15.882	1	1	2	188.551	0
15.921	1	2	1	35.8789	0
15.922	1	1	2	29.762	0
15.961	1	2	1	46.8461	0
15.962	1	1	2	59.6399	0
16.001	1	2	1	60.8639	0
16.002	1	1	2	79.5165	0
16.041	1	2	1	49.3488	0
16.042	1	1	2	39.7495	0
16.081	1	2	1	51.0567	0
16.082	1	1	2	94.9663	0
16.121	1	2	1	71.2499	0
16.122	1	1	2	61.1854	0
16.161	1	2	1	22.3655	0
16.162	1	1	2	53.8982	0
16.201	1	2	1	41.2624	0
16.202	1	1	2	46.8256	0
16.241	1	2	1	95.9339	0
16.242	1	1	2	60.2619	0
16.281	1	2	1	53.0611	0
16.282	1	1	2	56.7083	0
16.321	1	2	1	76.8801	0
16.322	1	1	2	67.9874	0
16.361	1	2	1	76.3819	0
16.362	1	1	2	105.889	0
16.401	1	2	1	26.8732	0
