% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
37384	1	2	1	0	4	453	0	1	1	0
37385	1	2	1	0	4	453	0	1	1	0
37393	1	2	1	0	4	453	0	1	1	0
37403	1	2	1	0	4	453	0	1	1	0
37408	1	1	2	0	2	277	0	1	1	0
37487	1	2	1	0	8	871	0	1	1	0
37488	1	2	1	0	8	871	0	1	1	0
37489	1	2	1	0	8	871	0	1	1	0
37490	1	2	1	0	8	871	0	1	1	0
37491	1	2	1	0	8	871	0	1	1	0
37492	1	2	1	0	8	871	0	1	1	0
37493	1	2	1	0	8	871	0	1	1	0
37494	1	2	1	0	8	871	0	1	1	0
37495	1	2	1	0	8	871	0	1	1	0
37496	1	2	1	0	8	871	0	1	1	0
37497	1	2	1	0	8	871	0	1	1	0
37498	1	2	1	0	8	871	0	1	1	0
37499	1	2	1	0	8	871	0	1	1	0
37500	1	2	1	0	8	871	0	1	1	0
37501	1	2	1	0	8	871	0	1	1	0
37502	1	2	1	0	8	871	0	1	1	0
37503	1	2	1	0	8	871	0	1	1	0
37504	1	2	1	0	8	871	0	1	1	0
37505	1	2	1	0	8	871	0	1	1	0
37506	1	2	1	0	8	871	0	1	1	0
37507	1	2	1	0	8	871	0	1	1	0
37508	1	2	1	0	8	871	0	1	1	0
37509	1	2	1	0	8	871	0	1	1	0
37510	1	2	1	0	8	871	0	1	1	0
37511	1	2	1	0	8	871	0	1	1	0
37512	1	2	1	0	8	871	0	1	1	0
37513	1	2	1	0	8	871	0	1	1	0
37514	1	2	1	0	8	871	0	1	1	0
37515	1	2	1	0	8	871	0	1	1	0
37528	1	1	2	0	0	173	0	1	1	0
37577	1	1	2	0	12	1239	0	1	1	0
37626	1	1	2	0	6	645	0	1	1	0
37675	1	1	2	0	0	173	0	1	1	0
37724	1	1	2	0	0	173	0	1	1	0
37807	1	2	1	0	4	453	0	1	1	0
37808	1	2	1	0	4	453	0	1	1	0
37808	1	1	2	0	2	277	0	1	1	0
37809	1	2	1	0	0	349	0	1	1	0
37810	1	2	1	0	0	349	0	1	1	0
37811	1	2	1	0	0	349	0	1	1	0
37812	1	2	1	0	0	349	0	1	1	0
37813	1	2	1	0	4	453	0	1	1	0
37813	1	1	2	0	2	277	0	1	0	0
37814	1	2	1	0	0	349	0	1	1	0
37815	1	2	1	0	4	453	0	1	1	0
37815	1	1	2	0	2	277	0	1	0	0
37816	1	2	1	0	0	349	0	1	1	0
37817	1	2	1	0	0	349	0	1	1	0
37818	1	2	1	0	0	349	0	1	1	0
37819	1	2	1	0	0	349	0	1	1	0
37820	1	2	1	0	0	349	0	1	1	0
37821	1	2	1	0	0	349	0	1	1	0
37822	1	2	1	0	0	349	0	1	1	0
37823	1	2	1	0	0	349	0	1	1	0
37824	1	2	1	0	0	349	0	1	1	0
37825	1	2	1	0	0	349	0	1	1	0
37826	1	2	1	0	0	349	0	1	1	0
37827	1	2	1	0	0	349	0	1	1	0
37828	1	2	1	0	0	349	0	1	1	0
37829	1	2	1	0	0	349	0	1	1	0
37830	1	2	1	0	0	349	0	1	1	0
37831	1	2	1	0	0	349	0	1	1	0
37832	1	2	1	0	0	349	0	1	1	0
37833	1	2	1	0	0	349	0	1	1	0
37834	1	2	1	0	0	349	0	1	1	0
37835	1	2	1	0	0	349	0	1	1	0
37836	1	2	1	0	0	349	0	1	1	0
37837	1	2	1	0	0	349	0	1	1	0
37838	1	2	1	0	0	349	0	1	1	0
37839	1	2	1	0	0	349	0	1	1	0
37840	1	2	1	0	0	349	0	1	1	0
37841	1	2	1	0	0	349	0	1	1	0
37842	1	2	1	0	0	349	0	1	1	0
37843	1	2	1	0	0	349	0	1	1	0
37844	1	2	1	0	0	349	0	1	1	0
37845	1	2	1	0	0	349	0	1	1	0
37846	1	2	1	0	0	349	0	1	1	0
37847	1	2	1	0	0	349	0	1	1	0
37848	1	2	1	0	0	349	0	1	1	0
37849	1	2	1	0	0	349	0	1	1	0
37850	1	2	1	0	0	349	0	1	1	0
37851	1	2	1	0	0	349	0	1	1	0
37852	1	2	1	0	0	349	0	1	1	0
37853	1	2	1	0	0	349	0	1	1	0
37854	1	2	1	0	0	349	0	1	1	0
37855	1	2	1	0	0	349	0	1	1	0
37856	1	2	1	0	0	349	0	1	1	0
37857	1	2	1	0	0	173	0	1	1	0
37857	1	1	2	0	2	277	0	1	1	0
37858	1	2	1	0	0	173	0	1	1	0
37858	1	1	2	0	2	277	0	1	0	0
37859	1	2	1	0	0	349	0	1	1	0
37860	1	2	1	0	0	349	0	1	1	0
37861	1	2	1	0	0	349	0	1	1	0
37862	1	2	1	0	0	349	0	1	1	0
37863	1	2	1	0	0	349	0	1	1	0
37864	1	2	1	0	0	349	0	1	1	0
37865	1	2	1	0	0	349	0	1	1	0
37866	1	2	1	0	0	349	0	1	1	0
37867	1	2	1	0	0	349	0	1	1	0
37868	1	2	1	0	0	349	0	1	1	0
37869	1	2	1	0	0	349	0	1	1	0
37870	1	2	1	0	0	349	0	1	1	0
37871	1	2	1	0	0	349	0	1	1	0
37872	1	2	1	0	0	349	0	1	1	0
37873	1	2	1	0	0	349	0	1	1	0
37874	1	2	1	0	0	349	0	1	1	0
37875	1	2	1	0	0	349	0	1	1	0
37876	1	2	1	0	0	349	0	1	1	0
37877	1	2	1	0	0	349	0	1	1	0
37880	1	2	1	0	0	349	0	1	1	0
37882	1	2	1	0	0	349	0	1	1	0
37883	1	2	1	0	0	349	0	1	1	0
37885	1	2	1	0	0	349	0	1	1	0
37906	1	2	1	0	12	1239	0	1	1	0
37906	1	1	2	0	2	277	0	1	1	0
37907	1	2	1	0	12	1239	0	1	1	0
37907	1	1	2	0	2	277	0	1	0	0
37967	1	2	1	0	2	277	0	1	1	0
37968	1	2	1	0	2	277	0	1	1	0
37969	1	2	1	0	2	277	0	1	1	0
37970	1	2	1	0	2	277	0	1	1	0
37971	1	2	1	0	2	277	0	1	1	0
37972	1	2	1	0	2	277	0	1	1	0
37973	1	2	1	0	2	277	0	1	1	0
37974	1	2	1	0	2	277	0	1	1	0
37976	1	2	1	0	2	277	0	1	1	0
37977	1	2	1	0	2	277	0	1	1	0
37984	1	2	1	0	2	277	0	1	1	0
38017	1	2	1	0	2	277	0	1	1	0
38018	1	2	1	0	2	277	0	1	1	0
38019	1	2	1	0	2	277	0	1	1	0
38020	1	2	1	0	2	277	0	1	1	0
38021	1	2	1	0	2	277	0	1	1	0
38022	1	2	1	0	2	277	0	1	1	0
38023	1	2	1	0	2	277	0	1	1	0
38024	1	2	1	0	2	277	0	1	1	0
38025	1	2	1	0	2	277	0	1	1	0
38026	1	2	1	0	2	277	0	1	1	0
38027	1	2	1	0	2	277	0	1	1	0
38028	1	2	1	0	2	277	0	1	1	0
38029	1	2	1	0	2	277	0	1	1	0
38030	1	2	1	0	2	277	0	1	1	0
38031	1	2	1	0	2	277	0	1	1	0
38032	1	2	1	0	2	277	0	1	1	0
